"spp","site","n_trees","n_crop","prop_crop","max_crop_dbh","mean_crop_dbh","dbh_50pct","effective_dbh_threshold","scenario","factor_type","factor_value","base_dbh","base_prop_crop","base_mean_crop_dbh","dbh_shift","dbh_pct_change","prop_crop_change","mean_crop_dbh_shift"
"SO","richnhw",912,358,0.392543859649123,20,13.6201117318436,10,10,"mortality_0.4","mortality",0.4,10,0.351973684210526,13.5015576323988,0,0,0.0405701754385965,0.118554099444822
"WO","clayplain",912,421,0.461622807017544,21,14.0926365795724,10,10,"mortality_0.4","mortality",0.4,10,0.425438596491228,13.7809278350515,0,0,0.0361842105263158,0.311708744520899
"WO","granitictill",912,431,0.472587719298246,21,14.2436194895592,10,10,"mortality_0.4","mortality",0.4,10,0.444078947368421,14.0148148148148,0,0,0.0285087719298245,0.228804674744351
"WO","mountaintill",912,428,0.469298245614035,21,14.3084112149533,10,10,"mortality_0.4","mortality",0.4,10,0.43859649122807,14.0725,0,0,0.030701754385965,0.235911214953271
"WO","richnhw",912,420,0.460526315789474,21,14.2690476190476,10,10,"mortality_0.4","mortality",0.4,10,0.427631578947368,14,0,0,0.0328947368421053,0.269047619047619
"WP","clayplain",912,18,0.0197368421052632,11,10.1666666666667,28,28,"mortality_0.4","mortality",0.4,28,0.0197368421052632,10.1666666666667,0,0,0,0
"WP","granitictill",912,12,0.0131578947368421,11,10.25,28,28,"mortality_0.4","mortality",0.4,28,0.00328947368421053,10,0,0,0.00986842105263158,0.25
"WP","mountaintill",912,3,0.00328947368421053,10,10,28,28,"mortality_0.4","mortality",0.4,0,0,NA,28,NA,0.00328947368421053,NA
"WP","richnhw",912,0,0,NA,NA,NA,0,"mortality_0.4","mortality",0.4,0,0,NA,0,NA,0,NA
"YB","clayplain",342,253,0.739766081871345,24,16.5652173913043,10,10,"mortality_0.4","mortality",0.4,10,0.684210526315789,16.0598290598291,0,0,0.0555555555555556,0.505388331475288
"YB","granitictill",342,195,0.570175438596491,21,14.9692307692308,10,10,"mortality_0.4","mortality",0.4,10,0.526315789473684,14.6388888888889,0,0,0.043859649122807,0.33034188034188
"YB","mountaintill",342,198,0.578947368421053,22,15.0959595959596,10,10,"mortality_0.4","mortality",0.4,10,0.532163742690059,14.7252747252747,0,0,0.0467836257309941,0.370684870684871
"YB","richnhw",342,254,0.742690058479532,25,16.6141732283465,10,10,"mortality_0.4","mortality",0.4,10,0.713450292397661,16.3401639344262,0,0,0.0292397660818714,0.274009293920226
"BM","clayplain",912,183,0.200657894736842,16,12.0546448087432,10,10,"mortality_0.8","mortality",0.8,10,0.256578947368421,12.3034188034188,0,0,-0.055921052631579,-0.248773994675634
"BM","granitictill",912,164,0.179824561403509,17,12.2134146341463,10,10,"mortality_0.8","mortality",0.8,10,0.235745614035088,12.4511627906977,0,0,-0.055921052631579,-0.237748156551334
