"spp","site","n_trees","n_crop","prop_crop","max_crop_dbh","mean_crop_dbh","dbh_50pct","effective_dbh_threshold","scenario","factor_type","factor_value"
"RM","clayplain",912,214,0.234649122807018,18,12.6728971962617,10,10,"mortality_1","mortality",1
"RM","granitictill",912,208,0.228070175438596,19,13.0769230769231,10,10,"mortality_1","mortality",1
"RM","mountaintill",912,201,0.220394736842105,20,13.7512437810945,13,13,"mortality_1","mortality",1
"RM","richnhw",912,196,0.214912280701754,19,13.5612244897959,13,13,"mortality_1","mortality",1
"SO","clayplain",912,226,0.24780701754386,19,12.5221238938053,10,10,"mortality_1","mortality",1
"SO","granitictill",912,242,0.265350877192982,19,12.9380165289256,10,10,"mortality_1","mortality",1
"SO","mountaintill",912,235,0.257675438596491,20,13.4297872340426,10,10,"mortality_1","mortality",1
"SO","richnhw",912,241,0.264254385964912,20,13.2821576763485,10,10,"mortality_1","mortality",1
"WO","clayplain",912,310,0.339912280701754,19,13.1064516129032,10,10,"mortality_1","mortality",1
"WO","granitictill",912,336,0.368421052631579,21,13.5535714285714,10,10,"mortality_1","mortality",1
"WO","mountaintill",912,332,0.364035087719298,21,13.7951807228916,10,10,"mortality_1","mortality",1
"WO","richnhw",912,323,0.354166666666667,19,13.5851393188854,10,10,"mortality_1","mortality",1
"WP","clayplain",912,9,0.00986842105263158,11,10.3333333333333,28,28,"mortality_1","mortality",1
"WP","granitictill",912,0,0,NA,NA,NA,0,"mortality_1","mortality",1
"WP","mountaintill",912,0,0,NA,NA,NA,0,"mortality_1","mortality",1
"WP","richnhw",912,0,0,NA,NA,NA,0,"mortality_1","mortality",1
"YB","clayplain",342,191,0.558479532163743,22,14.9528795811518,10,10,"mortality_1","mortality",1
"YB","granitictill",342,145,0.423976608187135,20,13.8620689655172,10,10,"mortality_1","mortality",1
"YB","mountaintill",342,151,0.441520467836257,20,14.1920529801325,10,10,"mortality_1","mortality",1
"YB","richnhw",342,214,0.625730994152047,24,15.6028037383178,10,10,"mortality_1","mortality",1
"BM","clayplain",912,243,0.266447368421053,17,12.3004115226337,10,10,"lev_0.5","lev",0.5
"BM","granitictill",912,242,0.265350877192982,18,12.4214876033058,10,10,"lev_0.5","lev",0.5
"BM","mountaintill",912,259,0.283991228070175,18,12.6370656370656,10,10,"lev_0.5","lev",0.5
"BM","richnhw",912,261,0.286184210526316,18,12.7164750957854,10,10,"lev_0.5","lev",0.5
"PB","clayplain",912,223,0.244517543859649,17,12.4843049327354,10,10,"lev_0.5","lev",0.5
"PB","granitictill",912,228,0.25,19,12.8421052631579,10,10,"lev_0.5","lev",0.5
"PB","mountaintill",912,218,0.239035087719298,19,13.1605504587156,10,10,"lev_0.5","lev",0.5
"PB","richnhw",912,223,0.244517543859649,18,13.0448430493274,10,10,"lev_0.5","lev",0.5
"RM","clayplain",912,334,0.366228070175439,19,13.2365269461078,10,10,"lev_0.5","lev",0.5
"RM","granitictill",912,333,0.365131578947368,19,13.3333333333333,10,10,"lev_0.5","lev",0.5
"RM","mountaintill",912,349,0.382675438596491,20,13.6704871060172,10,10,"lev_0.5","lev",0.5
"RM","richnhw",912,353,0.387061403508772,20,13.657223796034,10,10,"lev_0.5","lev",0.5
"SO","clayplain",912,329,0.360745614035088,20,13.1276595744681,10,10,"lev_0.5","lev",0.5
"SO","granitictill",912,346,0.379385964912281,20,13.3872832369942,10,10,"lev_0.5","lev",0.5
"SO","mountaintill",912,361,0.395833333333333,21,13.6343490304709,10,10,"lev_0.5","lev",0.5
"SO","richnhw",912,358,0.392543859649123,20,13.4664804469274,10,10,"lev_0.5","lev",0.5
"WO","clayplain",912,396,0.434210526315789,20,13.8409090909091,10,10,"lev_0.5","lev",0.5
"WO","granitictill",912,415,0.455043859649123,21,14.0578313253012,10,10,"lev_0.5","lev",0.5
"WO","mountaintill",912,416,0.456140350877193,21,14.0913461538462,10,10,"lev_0.5","lev",0.5
"WO","richnhw",912,419,0.459429824561404,21,14.109785202864,10,10,"lev_0.5","lev",0.5
"WP","clayplain",912,21,0.0230263157894737,11,10.1428571428571,28,28,"lev_0.5","lev",0.5
"WP","granitictill",912,36,0.0394736842105263,12,10.8333333333333,28,28,"lev_0.5","lev",0.5
"WP","mountaintill",912,30,0.0328947368421053,12,10.7,28,28,"lev_0.5","lev",0.5
"WP","richnhw",912,21,0.0230263157894737,12,10.4285714285714,28,28,"lev_0.5","lev",0.5
"YB","clayplain",342,235,0.687134502923977,24,16.0851063829787,10,10,"lev_0.5","lev",0.5
"YB","granitictill",342,181,0.529239766081871,21,14.646408839779,10,10,"lev_0.5","lev",0.5
"YB","mountaintill",342,187,0.546783625730994,21,14.8181818181818,10,10,"lev_0.5","lev",0.5
"YB","richnhw",342,246,0.719298245614035,25,16.3943089430894,10,10,"lev_0.5","lev",0.5
"BM","clayplain",912,239,0.262061403508772,17,12.3054393305439,10,10,"lev_0.75","lev",0.75
"BM","granitictill",912,227,0.24890350877193,18,12.4625550660793,10,10,"lev_0.75","lev",0.75
"BM","mountaintill",912,243,0.266447368421053,17,12.6666666666667,10,10,"lev_0.75","lev",0.75
